Epoch, Batch, Loss, BatchAccuracy, EpochAccuracy, TotalAccuracy
1, 1, 0.6569, 1.000, 1.000, 1.000
1, 2, 0.7944, 0.333, 0.667, 0.667
1, 3, 0.9296, 0.000, 0.444, 0.444
1, 4, 0.8265, 0.000, 0.333, 0.333
1, 5, 0.6821, 0.333, 0.333, 0.333
1, 6, 0.7083, 0.000, 0.278, 0.278
1, 7, 0.6901, 0.667, 0.333, 0.333
1, 8, 0.6896, 0.667, 0.375, 0.375
1, 9, 0.6749, 1.000, 0.444, 0.444
1, 10, 0.7099, 0.333, 0.433, 0.433
1, 11, 0.7153, 0.333, 0.424, 0.424
1, 12, 0.6740, 0.667, 0.444, 0.444
1, 13, 0.7191, 0.333, 0.436, 0.436
1, 14, 0.7177, 0.333, 0.429, 0.429
1, 15, 0.7482, 0.000, 0.400, 0.400
1, 16, 0.6858, 0.667, 0.417, 0.417
1, 17, 0.6922, 0.333, 0.412, 0.412
1, 18, 0.6966, 0.333, 0.407, 0.407
1, 19, 0.6787, 1.000, 0.439, 0.439
1, 20, 0.6608, 1.000, 0.467, 0.467
1, 21, 0.6742, 0.667, 0.476, 0.476
1, 22, 0.7299, 0.333, 0.470, 0.470
1, 23, 0.5841, 1.000, 0.493, 0.493
1, 24, 0.7543, 0.333, 0.486, 0.486
1, 25, 0.8809, 0.000, 0.467, 0.467
1, 26, 0.7601, 0.333, 0.462, 0.462
1, 27, 0.8418, 0.000, 0.444, 0.444
1, 28, 0.7359, 0.333, 0.440, 0.440
1, 29, 0.6699, 0.667, 0.448, 0.448
1, 30, 0.7146, 0.333, 0.444, 0.444
1, 31, 0.7080, 0.333, 0.441, 0.441
1, 32, 0.7016, 0.333, 0.438, 0.438
1, 33, 0.6900, 0.667, 0.444, 0.444
1, 34, 0.6932, 0.333, 0.441, 0.441
1, 35, 0.6881, 1.000, 0.457, 0.457
1, 36, 0.7083, 0.000, 0.444, 0.444
1, 37, 0.6773, 1.000, 0.459, 0.459
1, 38, 0.7010, 0.333, 0.456, 0.456
1, 39, 0.6666, 1.000, 0.470, 0.470
1, 40, 0.7067, 0.333, 0.467, 0.467
1, 41, 0.7096, 0.333, 0.463, 0.463
1, 42, 0.6780, 0.667, 0.468, 0.468
1, 43, 0.7117, 0.333, 0.465, 0.465
1, 44, 0.7113, 0.333, 0.462, 0.462
1, 45, 0.7097, 0.333, 0.459, 0.459
1, 46, 0.7061, 0.333, 0.457, 0.457
1, 47, 0.6705, 1.000, 0.468, 0.468
1, 48, 0.7010, 0.333, 0.465, 0.465
1, 49, 0.6994, 0.333, 0.463, 0.463
1, 50, 0.6901, 0.667, 0.467, 0.467
1, 51, 0.6952, 0.333, 0.464, 0.464
1, 52, 0.6925, 0.667, 0.468, 0.468
1, 53, 0.6897, 0.667, 0.472, 0.472
1, 54, 0.6870, 0.667, 0.475, 0.475
1, 55, 0.7050, 0.333, 0.473, 0.473
1, 56, 0.7079, 0.333, 0.470, 0.470
1, 57, 0.7417, 0.000, 0.462, 0.462
1, 58, 0.6816, 0.667, 0.466, 0.466
1, 59, 0.6816, 0.667, 0.469, 0.469
1, 60, 0.7037, 0.333, 0.467, 0.467
1, 61, 0.6682, 1.000, 0.475, 0.475
1, 62, 0.7031, 0.333, 0.473, 0.473
1, 63, 0.7249, 0.000, 0.466, 0.466
1, 64, 0.6855, 0.667, 0.469, 0.469
1, 65, 0.6756, 1.000, 0.477, 0.477
1, 66, 0.6860, 0.667, 0.480, 0.480
1, 67, 0.7042, 0.333, 0.478, 0.478
1, 68, 0.7232, 0.000, 0.471, 0.471
1, 69, 0.6872, 0.667, 0.473, 0.473
1, 70, 0.6738, 1.000, 0.481, 0.481
2, 1, 0.6847, 0.667, 0.667, 0.484
2, 2, 0.7003, 0.333, 0.500, 0.481
2, 3, 0.6603, 1.000, 0.667, 0.489
2, 4, 0.7071, 0.333, 0.583, 0.486
2, 5, 0.6450, 1.000, 0.667, 0.493
2, 6, 0.7593, 0.000, 0.556, 0.487
2, 7, 0.7145, 0.333, 0.524, 0.485
2, 8, 0.7151, 0.333, 0.500, 0.483
2, 9, 0.7142, 0.333, 0.481, 0.481
2, 10, 0.6796, 0.667, 0.500, 0.483
2, 11, 0.7063, 0.333, 0.485, 0.481
2, 12, 0.7082, 0.333, 0.472, 0.480
2, 13, 0.6807, 0.667, 0.487, 0.482
2, 14, 0.7017, 0.333, 0.476, 0.480
2, 15, 0.6864, 0.667, 0.489, 0.482
2, 16, 0.6862, 0.667, 0.500, 0.484
2, 17, 0.6863, 0.667, 0.510, 0.487
