Epoch, Batch, LR, Loss, BatchAccuracy, EpochAccuracy, TotalAccuracy, TestAccuracy
1, 1, 0.01, 0.6932, 0.667, 0.667, 0.667, 0.000
1, 2, 0.01, 0.7137, 0.333, 0.500, 0.500, 0.000
1, 3, 0.01, 0.6964, 0.667, 0.556, 0.556, 0.000
1, 4, 0.01, 0.6958, 0.000, 0.417, 0.417, 0.000
1, 5, 0.01, 0.6943, 0.667, 0.467, 0.467, 0.000
1, 6, 0.01, 0.6966, 0.333, 0.444, 0.444, 0.000
1, 7, 0.01, 0.6961, 1.000, 0.524, 0.524, 0.000
1, 8, 0.01, 0.6931, 1.000, 0.583, 0.583, 0.000
1, 9, 0.01, 0.6952, 0.333, 0.556, 0.556, 0.000
1, 10, 0.01, 0.6995, 0.000, 0.500, 0.500, 0.000
1, 11, 0.01, 0.6942, 0.667, 0.515, 0.515, 0.000
1, 12, 0.01, 0.6951, 0.333, 0.500, 0.500, 0.000
1, 13, 0.01, 0.6939, 0.000, 0.462, 0.462, 0.000
1, 14, 0.01, 0.6931, 0.333, 0.452, 0.452, 0.000
1, 15, 0.01, 0.6930, 0.667, 0.467, 0.467, 0.000
1, 16, 0.01, 0.6932, 0.667, 0.479, 0.479, 0.000
1, 17, 0.01, 0.6919, 1.000, 0.510, 0.510, 0.000
1, 18, 0.01, 0.6939, 0.667, 0.519, 0.519, 0.000
1, 19, 0.01, 0.6940, 0.667, 0.526, 0.526, 0.000
1, 20, 0.01, 0.6919, 1.000, 0.550, 0.550, 0.000
1, 21, 0.01, 0.6937, 0.667, 0.556, 0.556, 0.000
1, 22, 0.01, 0.6966, 0.000, 0.530, 0.530, 0.000
1, 23, 0.01, 0.6942, 0.333, 0.522, 0.522, 0.000
1, 24, 0.01, 0.6934, 0.667, 0.528, 0.528, 0.000
1, 25, 0.01, 0.6933, 0.333, 0.520, 0.520, 0.000
1, 26, 0.01, 0.6946, 0.000, 0.500, 0.500, 0.000
1, 27, 0.01, 0.6921, 1.000, 0.519, 0.519, 0.000
