Epoch, Batch, LR, Loss, BatchAccuracy, EpochAccuracy, TotalAccuracy, TestAccuracy
1, 1, 0.01, 0.6905, 1.000, 1.000, 1.000, 0.000
1, 2, 0.01, 0.7123, 0.667, 0.833, 0.833, 0.000
1, 3, 0.01, 0.6972, 0.667, 0.778, 0.778, 0.000
1, 4, 0.01, 0.6969, 1.000, 0.833, 0.833, 0.000
1, 5, 0.01, 0.6977, 0.333, 0.733, 0.733, 0.000
1, 6, 0.01, 0.7015, 0.333, 0.667, 0.667, 0.000
1, 7, 0.01, 0.6940, 0.667, 0.667, 0.667, 0.000
1, 8, 0.01, 0.7010, 0.000, 0.583, 0.583, 0.000
1, 9, 0.01, 0.6916, 0.000, 0.519, 0.519, 0.000
1, 10, 0.01, 0.6929, 0.667, 0.533, 0.533, 0.000
1, 11, 0.01, 0.6926, 0.667, 0.545, 0.545, 0.000
1, 12, 0.01, 0.6928, 0.667, 0.556, 0.556, 0.000
1, 13, 0.01, 0.6932, 0.667, 0.564, 0.564, 0.000
1, 14, 0.01, 0.6986, 0.333, 0.548, 0.548, 0.000
1, 15, 0.01, 0.6887, 1.000, 0.578, 0.578, 0.000
1, 16, 0.01, 0.6888, 1.000, 0.604, 0.604, 0.000
1, 17, 0.01, 0.6930, 0.667, 0.608, 0.608, 0.000
1, 18, 0.01, 0.7007, 0.000, 0.574, 0.574, 0.000
1, 19, 0.01, 0.6979, 0.000, 0.544, 0.544, 0.000
1, 20, 0.01, 0.6921, 0.000, 0.517, 0.517, 0.000
1, 21, 0.01, 0.6930, 0.667, 0.524, 0.524, 0.000
1, 22, 0.01, 0.6959, 0.000, 0.500, 0.500, 0.000
1, 23, 0.01, 0.6946, 0.333, 0.493, 0.493, 0.000
1, 24, 0.01, 0.6946, 0.333, 0.486, 0.486, 0.000
1, 25, 0.01, 0.6910, 1.000, 0.507, 0.507, 0.000
1, 26, 0.01, 0.6910, 1.000, 0.526, 0.526, 0.000
1, 27, 0.01, 0.6945, 0.333, 0.519, 0.519, 0.000
1, 28, 0.01, 0.6926, 0.667, 0.524, 0.524, 0.000
1, 29, 0.01, 0.6925, 0.667, 0.529, 0.529, 0.000
1, 30, 0.01, 0.6926, 0.667, 0.533, 0.533, 0.000
1, 31, 0.01, 0.6945, 0.333, 0.527, 0.527, 0.000
1, 32, 0.01, 0.6943, 0.333, 0.521, 0.521, 0.000
1, 33, 0.01, 0.6927, 0.667, 0.525, 0.525, 0.000
1, 34, 0.01, 0.6936, 0.333, 0.520, 0.520, 0.000
1, 35, 0.01, 0.6930, 0.333, 0.514, 0.514, 0.000
1, 36, 0.01, 0.6929, 1.000, 0.528, 0.528, 0.000
1, 37, 0.01, 0.6937, 0.333, 0.523, 0.523, 0.000
1, 38, 0.01, 0.6925, 0.667, 0.526, 0.526, 0.000
1, 39, 0.01, 0.6948, 0.333, 0.521, 0.521, 0.000
1, 40, 0.01, 0.6925, 0.667, 0.525, 0.525, 0.000
1, 41, 0.01, 0.6975, 0.000, 0.512, 0.512, 0.000
1, 42, 0.01, 0.6948, 0.333, 0.508, 0.508, 0.000
1, 43, 0.01, 0.6943, 0.333, 0.504, 0.504, 0.000
1, 44, 0.01, 0.6928, 0.667, 0.508, 0.508, 0.000
1, 45, 0.01, 0.6934, 1.000, 0.519, 0.519, 0.000
1, 46, 0.01, 0.6935, 0.333, 0.514, 0.514, 0.000
1, 47, 0.01, 0.6942, 0.333, 0.511, 0.511, 0.000
1, 48, 0.01, 0.6945, 0.333, 0.507, 0.507, 0.000
1, 49, 0.01, 0.6907, 1.000, 0.517, 0.517, 0.000
1, 50, 0.01, 0.6900, 1.000, 0.527, 0.527, 0.000
1, 51, 0.01, 0.6926, 0.667, 0.529, 0.529, 0.000
1, 52, 0.01, 0.6964, 0.333, 0.526, 0.526, 0.000
1, 53, 0.01, 0.6890, 1.000, 0.535, 0.535, 0.000
1, 54, 0.01, 0.6969, 0.333, 0.531, 0.531, 0.000
1, 55, 0.01, 0.6969, 0.333, 0.527, 0.527, 0.000
1, 56, 0.01, 0.6964, 0.333, 0.524, 0.524, 0.000
1, 57, 0.01, 0.6894, 1.000, 0.532, 0.532, 0.000
1, 58, 0.01, 0.6956, 0.333, 0.529, 0.529, 0.000
1, 59, 0.01, 0.6949, 0.333, 0.525, 0.525, 0.000
1, 60, 0.01, 0.6943, 0.333, 0.522, 0.522, 0.000
1, 61, 0.01, 0.6947, 0.000, 0.514, 0.514, 0.000
1, 62, 0.01, 0.6931, 0.667, 0.516, 0.516, 0.000
1, 63, 0.01, 0.6934, 0.333, 0.513, 0.513, 0.000
1, 64, 0.01, 0.6941, 0.333, 0.510, 0.510, 0.000
