Epoch, Batch, LR, Loss, BatchAccuracy, EpochAccuracy, TotalAccuracy, TestAccuracy
1, 1, 0.01, 2.2505, 0.333, 0.333, 0.333, 0.000
1, 2, 0.01, 2.4076, 0.000, 0.167, 0.167, 0.000
1, 3, 0.01, 2.2263, 0.333, 0.222, 0.222, 0.000
1, 4, 0.01, 2.3023, 0.000, 0.167, 0.167, 0.000
1, 5, 0.01, 2.2003, 0.333, 0.200, 0.200, 0.000
1, 6, 0.01, 1.9834, 0.333, 0.222, 0.222, 0.000
1, 7, 0.01, 2.0855, 0.333, 0.238, 0.238, 0.000
1, 8, 0.01, 2.8671, 0.000, 0.208, 0.208, 0.000
1, 9, 0.01, 2.3620, 0.000, 0.185, 0.185, 0.000
1, 10, 0.01, 2.3967, 0.333, 0.200, 0.200, 0.000
1, 11, 0.01, 2.9721, 0.000, 0.182, 0.182, 0.000
1, 12, 0.01, 2.2963, 0.000, 0.167, 0.167, 0.000
1, 13, 0.01, 2.0746, 0.333, 0.179, 0.179, 0.000
1, 14, 0.01, 2.3977, 0.000, 0.167, 0.167, 0.000
1, 15, 0.01, 2.3396, 0.333, 0.178, 0.178, 0.000
1, 16, 0.01, 2.5161, 0.000, 0.167, 0.167, 0.000
1, 17, 0.01, 2.3227, 0.333, 0.176, 0.176, 0.000
1, 18, 0.01, 2.4703, 0.000, 0.167, 0.167, 0.000
1, 19, 0.01, 2.4150, 0.000, 0.158, 0.158, 0.000
1, 20, 0.01, 2.4298, 0.000, 0.150, 0.150, 0.000
1, 21, 0.01, 2.3685, 0.000, 0.143, 0.143, 0.000
1, 22, 0.01, 2.3594, 0.000, 0.136, 0.136, 0.000
1, 23, 0.01, 2.2890, 0.333, 0.145, 0.145, 0.000
1, 24, 0.01, 2.2808, 0.333, 0.153, 0.153, 0.000
1, 25, 0.01, 2.3091, 0.000, 0.147, 0.147, 0.000
1, 26, 0.01, 2.3661, 0.000, 0.141, 0.141, 0.000
1, 27, 0.01, 2.2759, 0.333, 0.148, 0.148, 0.000
1, 28, 0.01, 2.3402, 0.000, 0.143, 0.143, 0.000
1, 29, 0.01, 2.3306, 0.000, 0.138, 0.138, 0.000
1, 30, 0.01, 2.3249, 0.000, 0.133, 0.133, 0.000
1, 31, 0.01, 2.2915, 0.333, 0.140, 0.140, 0.000
1, 32, 0.01, 2.2883, 0.333, 0.146, 0.146, 0.000
1, 33, 0.01, 2.2571, 0.000, 0.141, 0.141, 0.000
1, 34, 0.01, 2.2651, 0.333, 0.147, 0.147, 0.000
1, 35, 0.01, 2.2602, 0.667, 0.162, 0.162, 0.000
1, 36, 0.01, 2.3457, 0.000, 0.157, 0.157, 0.000
1, 37, 0.01, 2.1516, 0.667, 0.171, 0.171, 0.000
1, 38, 0.01, 2.3875, 0.000, 0.167, 0.167, 0.000
1, 39, 0.01, 2.2625, 0.000, 0.162, 0.162, 0.000
1, 40, 0.01, 2.2627, 0.000, 0.158, 0.158, 0.000
1, 41, 0.01, 2.2761, 0.000, 0.154, 0.154, 0.000
1, 42, 0.01, 2.3978, 0.000, 0.151, 0.151, 0.000
1, 43, 0.01, 2.3594, 0.000, 0.147, 0.147, 0.000
1, 44, 0.01, 2.2870, 0.000, 0.144, 0.144, 0.000
1, 45, 0.01, 2.3462, 0.000, 0.141, 0.141, 0.000
1, 46, 0.01, 2.2558, 0.000, 0.138, 0.138, 0.000
1, 47, 0.01, 2.1821, 0.000, 0.135, 0.135, 0.000
1, 48, 0.01, 2.3476, 0.000, 0.132, 0.132, 0.000
1, 49, 0.01, 2.3818, 0.000, 0.129, 0.129, 0.000
1, 50, 0.01, 2.3366, 0.000, 0.127, 0.127, 0.000
1, 51, 0.01, 2.0657, 0.000, 0.124, 0.124, 0.000
1, 52, 0.01, 2.2801, 0.333, 0.128, 0.128, 0.000
1, 53, 0.01, 2.2845, 0.333, 0.132, 0.132, 0.000
1, 54, 0.01, 2.5562, 0.000, 0.130, 0.130, 0.000
1, 55, 0.01, 2.7420, 0.000, 0.127, 0.127, 0.000
1, 56, 0.01, 2.5469, 0.000, 0.125, 0.125, 0.000
1, 57, 0.01, 2.5647, 0.000, 0.123, 0.123, 0.000
1, 58, 0.01, 2.2958, 0.000, 0.121, 0.121, 0.000
1, 59, 0.01, 2.4427, 0.000, 0.119, 0.119, 0.000
1, 60, 0.01, 2.2906, 0.000, 0.117, 0.117, 0.000
1, 61, 0.01, 2.3016, 0.000, 0.115, 0.115, 0.000
1, 62, 0.01, 2.3996, 0.000, 0.113, 0.113, 0.000
1, 63, 0.01, 2.3520, 0.000, 0.111, 0.111, 0.000
1, 64, 0.01, 2.3218, 0.000, 0.109, 0.109, 0.000
1, 65, 0.01, 2.2327, 0.000, 0.108, 0.108, 0.000
1, 66, 0.01, 2.3760, 0.000, 0.106, 0.106, 0.000
