Epoch, Batch, Loss, BatchAccuracy, EpochAccuracy, TotalAccuracy
0, 0, 0.7074, 0.667, 0.667, 0.667
0, 1, 0.6553, 0.667, 0.667, 0.667
0, 2, 1.1383, 0.000, 0.444, 0.444
0, 3, 0.9438, 0.000, 0.333, 0.333
0, 4, 0.6104, 1.000, 0.467, 0.467
0, 5, 0.6804, 0.667, 0.500, 0.500
0, 6, 0.6891, 0.667, 0.524, 0.524
0, 7, 0.6954, 0.667, 0.542, 0.542
0, 8, 0.6920, 0.667, 0.556, 0.556
0, 9, 0.6992, 0.333, 0.533, 0.533
0, 10, 0.6858, 0.667, 0.545, 0.545
0, 11, 0.7244, 0.000, 0.500, 0.500
0, 12, 0.6861, 0.667, 0.513, 0.513
0, 13, 0.6986, 0.333, 0.500, 0.500
0, 14, 0.6862, 1.000, 0.533, 0.533
0, 15, 0.6982, 0.333, 0.521, 0.521
0, 16, 0.6881, 0.667, 0.529, 0.529
0, 17, 0.7003, 0.333, 0.519, 0.519
0, 18, 0.6864, 0.667, 0.526, 0.526
0, 19, 0.6680, 1.000, 0.550, 0.550
0, 20, 0.7356, 0.000, 0.524, 0.524
0, 21, 0.7369, 0.000, 0.500, 0.500
0, 22, 0.6828, 0.667, 0.507, 0.507
0, 23, 0.7185, 0.000, 0.486, 0.486
0, 24, 0.6843, 1.000, 0.507, 0.507
0, 25, 0.6919, 0.667, 0.513, 0.513
0, 26, 0.6985, 1.000, 0.531, 0.531
0, 27, 0.6912, 0.667, 0.536, 0.536
0, 28, 0.6995, 0.333, 0.529, 0.529
0, 29, 0.7018, 0.333, 0.522, 0.522
0, 30, 0.6839, 0.667, 0.527, 0.527
0, 31, 0.6591, 1.000, 0.542, 0.542
0, 32, 0.6419, 1.000, 0.556, 0.556
0, 33, 0.6674, 0.667, 0.559, 0.559
0, 34, 0.5768, 1.000, 0.571, 0.571
0, 35, 0.7756, 0.333, 0.565, 0.565
0, 36, 0.6417, 0.667, 0.568, 0.568
0, 37, 0.8298, 0.333, 0.561, 0.561
0, 38, 0.6367, 0.667, 0.564, 0.564
0, 39, 1.0363, 0.000, 0.550, 0.550
0, 40, 0.9651, 0.000, 0.537, 0.537
0, 41, 0.6507, 0.667, 0.540, 0.540
0, 42, 0.7403, 0.333, 0.535, 0.535
0, 43, 0.7744, 0.000, 0.523, 0.523
0, 44, 0.6812, 0.667, 0.526, 0.526
0, 45, 0.6962, 0.667, 0.529, 0.529
0, 46, 0.6984, 0.333, 0.525, 0.525
0, 47, 0.7035, 0.333, 0.521, 0.521
0, 48, 0.6568, 1.000, 0.531, 0.531
0, 49, 0.6441, 1.000, 0.540, 0.540
0, 50, 0.6724, 0.667, 0.542, 0.542
0, 51, 0.6675, 0.667, 0.545, 0.545
0, 52, 0.8102, 0.000, 0.535, 0.535
0, 53, 0.7371, 0.333, 0.531, 0.531
0, 54, 0.6632, 0.667, 0.533, 0.533
0, 55, 0.5935, 1.000, 0.542, 0.542
0, 56, 0.6620, 0.667, 0.544, 0.544
0, 57, 0.6597, 0.667, 0.546, 0.546
0, 58, 0.5649, 1.000, 0.554, 0.554
0, 59, 0.5415, 1.000, 0.561, 0.561
0, 60, 0.9275, 0.000, 0.552, 0.552
0, 61, 0.7898, 0.333, 0.548, 0.548
0, 62, 0.7852, 0.333, 0.545, 0.545
0, 63, 0.7762, 0.333, 0.542, 0.542
0, 64, 0.7666, 0.333, 0.538, 0.538
0, 65, 0.6573, 0.667, 0.540, 0.540
0, 66, 0.6595, 0.667, 0.542, 0.542
0, 67, 0.7363, 0.333, 0.539, 0.539
0, 68, 0.7298, 0.333, 0.536, 0.536
0, 69, 0.7795, 0.000, 0.529, 0.529
1, 0, 0.6339, 1.000, 1.000, 0.535
1, 1, 0.7456, 0.000, 0.500, 0.528
1, 2, 0.7050, 0.333, 0.444, 0.525
1, 3, 0.6994, 0.667, 0.500, 0.527
1, 4, 0.6943, 0.333, 0.467, 0.524
1, 5, 0.6885, 0.667, 0.500, 0.526
1, 6, 0.6834, 0.667, 0.524, 0.528
1, 7, 0.6437, 1.000, 0.583, 0.534
1, 8, 0.7231, 0.333, 0.556, 0.532
1, 9, 0.7336, 0.333, 0.533, 0.529
1, 10, 0.6612, 0.667, 0.545, 0.531
1, 11, 0.6589, 0.667, 0.556, 0.533
1, 12, 0.8566, 0.000, 0.513, 0.526
1, 13, 0.7493, 0.333, 0.500, 0.524
1, 14, 0.6610, 0.667, 0.511, 0.525
1, 15, 0.7337, 0.333, 0.500, 0.523
1, 16, 0.7252, 0.333, 0.490, 0.521
1, 17, 0.6344, 1.000, 0.519, 0.527
1, 18, 0.7132, 0.333, 0.509, 0.524
1, 19, 0.6507, 1.000, 0.533, 0.530
1, 20, 0.6794, 0.667, 0.540, 0.531
1, 21, 0.6417, 1.000, 0.561, 0.536
1, 22, 0.7202, 0.333, 0.551, 0.534
1, 23, 0.7251, 0.333, 0.542, 0.532
1, 24, 0.7878, 0.000, 0.520, 0.526
1, 25, 0.6693, 0.667, 0.526, 0.528
1, 26, 0.7203, 0.333, 0.519, 0.526
1, 27, 0.6356, 1.000, 0.536, 0.531
1, 28, 0.6737, 0.667, 0.540, 0.532
1, 29, 0.7623, 0.000, 0.522, 0.527
1, 30, 0.6770, 0.667, 0.527, 0.528
1, 31, 0.6760, 0.667, 0.531, 0.529
1, 32, 0.6442, 1.000, 0.545, 0.534
1, 33, 0.6755, 0.667, 0.549, 0.535
1, 34, 0.7192, 0.333, 0.543, 0.533
1, 35, 0.7778, 0.000, 0.528, 0.528
1, 36, 0.7695, 0.000, 0.514, 0.523
1, 37, 0.7126, 0.333, 0.509, 0.522
1, 38, 0.6829, 0.667, 0.513, 0.523
1, 39, 0.7010, 0.333, 0.508, 0.521
1, 40, 0.6831, 1.000, 0.520, 0.526
1, 41, 0.6966, 1.000, 0.532, 0.530
1, 42, 0.7006, 0.000, 0.519, 0.525
1, 43, 0.6904, 0.667, 0.523, 0.526
1, 44, 0.6790, 1.000, 0.533, 0.530
1, 45, 0.6841, 0.667, 0.536, 0.532
1, 46, 0.6834, 0.667, 0.539, 0.533
1, 47, 0.7400, 0.000, 0.528, 0.528
1, 48, 0.6777, 0.667, 0.531, 0.529
1, 49, 0.7137, 0.333, 0.527, 0.528
1, 50, 0.6746, 0.667, 0.529, 0.529
1, 51, 0.6356, 1.000, 0.538, 0.533
1, 52, 0.6285, 1.000, 0.547, 0.537
1, 53, 0.6168, 1.000, 0.556, 0.540
1, 54, 0.7302, 0.333, 0.552, 0.539
1, 55, 0.7369, 0.333, 0.548, 0.537
1, 56, 0.6595, 0.667, 0.550, 0.538
1, 57, 0.8313, 0.000, 0.540, 0.534
1, 58, 0.8257, 0.000, 0.531, 0.530
1, 59, 0.5827, 1.000, 0.539, 0.533
1, 60, 0.7358, 0.333, 0.536, 0.532
1, 61, 0.6623, 0.667, 0.538, 0.533
1, 62, 0.6630, 0.667, 0.540, 0.534
1, 63, 0.6649, 0.667, 0.542, 0.535
1, 64, 0.6637, 0.667, 0.544, 0.536
1, 65, 0.7332, 0.333, 0.540, 0.534
1, 66, 0.7312, 0.333, 0.537, 0.533
1, 67, 0.7311, 0.333, 0.534, 0.531
1, 68, 0.6665, 0.667, 0.536, 0.532
1, 69, 0.7885, 0.000, 0.529, 0.529
2, 0, 0.6672, 0.667, 0.667, 0.530
2, 1, 0.6692, 0.667, 0.667, 0.531
2, 2, 0.7197, 0.333, 0.556, 0.529
2, 3, 0.7205, 0.333, 0.500, 0.528
2, 4, 0.6293, 1.000, 0.600, 0.531
2, 5, 0.6725, 0.667, 0.611, 0.532
2, 6, 0.7131, 0.333, 0.571, 0.531
2, 7, 0.7148, 0.333, 0.542, 0.529
2, 8, 0.6740, 0.667, 0.556, 0.530
2, 9, 0.7110, 0.333, 0.533, 0.529
2, 10, 0.7469, 0.000, 0.485, 0.525
2, 11, 0.6782, 0.667, 0.500, 0.526
2, 12, 0.7104, 0.333, 0.487, 0.525
2, 13, 0.6796, 0.667, 0.500, 0.526
2, 14, 0.6803, 0.667, 0.511, 0.527
2, 15, 0.7262, 0.000, 0.479, 0.524
2, 16, 0.7014, 0.333, 0.471, 0.522
2, 17, 0.6972, 0.333, 0.463, 0.521
2, 18, 0.6900, 0.667, 0.474, 0.522
2, 19, 0.6886, 0.667, 0.483, 0.523
2, 20, 0.6890, 1.000, 0.508, 0.526
2, 21, 0.6917, 0.667, 0.515, 0.527
2, 22, 0.7028, 0.000, 0.493, 0.524
2, 23, 0.6887, 0.667, 0.500, 0.524
2, 24, 0.6942, 0.333, 0.493, 0.523
2, 25, 0.6821, 1.000, 0.513, 0.526
2, 26, 0.6846, 1.000, 0.531, 0.529
2, 27, 0.6941, 0.667, 0.536, 0.530
2, 28, 0.7005, 0.333, 0.529, 0.529
2, 29, 0.6712, 1.000, 0.544, 0.531
2, 30, 0.7029, 0.333, 0.538, 0.530
2, 31, 0.6995, 0.333, 0.531, 0.529
2, 32, 0.6788, 0.667, 0.535, 0.530
2, 33, 0.6827, 0.667, 0.539, 0.531
2, 34, 0.6795, 0.667, 0.543, 0.531
2, 35, 0.6797, 0.667, 0.546, 0.532
2, 36, 0.6456, 1.000, 0.559, 0.535
2, 37, 0.7093, 0.333, 0.553, 0.534
2, 38, 0.7112, 0.333, 0.547, 0.533
2, 39, 0.7123, 0.333, 0.542, 0.531
2, 40, 0.7102, 0.333, 0.537, 0.530
2, 41, 0.6653, 0.667, 0.540, 0.531
2, 42, 0.7123, 0.333, 0.535, 0.530
2, 43, 0.6782, 0.667, 0.538, 0.531
2, 44, 0.7407, 0.000, 0.526, 0.528
2, 45, 0.6741, 0.667, 0.529, 0.529
2, 46, 0.6732, 0.667, 0.532, 0.529
2, 47, 0.7163, 0.333, 0.528, 0.528
2, 48, 0.6602, 1.000, 0.537, 0.531
2, 49, 0.6920, 0.667, 0.540, 0.532
2, 50, 0.6971, 0.333, 0.536, 0.531
2, 51, 0.6453, 1.000, 0.545, 0.533
2, 52, 0.6787, 0.667, 0.547, 0.534
2, 53, 0.6718, 0.667, 0.549, 0.534
2, 54, 0.7153, 0.333, 0.545, 0.533
2, 55, 0.6496, 0.667, 0.548, 0.534
2, 56, 0.7144, 0.333, 0.544, 0.533
2, 57, 0.6572, 0.667, 0.546, 0.534
2, 58, 0.6854, 0.667, 0.548, 0.534
2, 59, 0.8053, 0.000, 0.539, 0.532
2, 60, 0.7287, 0.333, 0.536, 0.531
2, 61, 0.7830, 0.000, 0.527, 0.528
2, 62, 0.6871, 0.667, 0.529, 0.529
2, 63, 0.6847, 1.000, 0.536, 0.531
2, 64, 0.6704, 0.333, 0.533, 0.530
2, 65, 0.6638, 0.667, 0.535, 0.531
2, 66, 0.6161, 1.000, 0.542, 0.533
2, 67, 0.5493, 0.667, 0.544, 0.534
2, 68, 0.5911, 0.667, 0.546, 0.534
2, 69, 1.7179, 0.000, 0.538, 0.532
3, 0, 0.7828, 0.667, 0.667, 0.532
3, 1, 0.6850, 0.333, 0.500, 0.531
3, 2, 0.7102, 0.333, 0.444, 0.531
3, 3, 0.6758, 0.667, 0.500, 0.531
3, 4, 0.6999, 0.333, 0.467, 0.530
3, 5, 0.6754, 1.000, 0.556, 0.532
3, 6, 0.7003, 0.333, 0.524, 0.531
3, 7, 0.6995, 0.333, 0.500, 0.531
3, 8, 0.6956, 0.000, 0.444, 0.528
3, 9, 0.6966, 1.000, 0.500, 0.530
3, 10, 0.6989, 0.333, 0.485, 0.529
3, 11, 0.6832, 0.667, 0.500, 0.530
3, 12, 0.6810, 0.667, 0.513, 0.531
3, 13, 0.6704, 0.667, 0.524, 0.531
3, 14, 0.6595, 0.667, 0.533, 0.532
3, 15, 0.7556, 0.333, 0.521, 0.531
3, 16, 0.7670, 0.333, 0.510, 0.530
3, 17, 0.6517, 0.667, 0.519, 0.531
3, 18, 0.7715, 0.333, 0.509, 0.530
3, 19, 0.6486, 0.667, 0.517, 0.530
3, 20, 0.6531, 0.667, 0.524, 0.531
3, 21, 0.5489, 1.000, 0.545, 0.533
3, 22, 0.7667, 0.333, 0.536, 0.532
3, 23, 0.6486, 0.667, 0.542, 0.533
3, 24, 0.6465, 0.667, 0.547, 0.533
3, 25, 0.7889, 0.333, 0.538, 0.532
3, 26, 0.6379, 0.667, 0.543, 0.533
3, 27, 0.6426, 0.667, 0.548, 0.534
3, 28, 0.4884, 1.000, 0.563, 0.536
3, 29, 0.9755, 0.000, 0.544, 0.533
3, 30, 0.6441, 0.667, 0.548, 0.534
3, 31, 0.7894, 0.333, 0.542, 0.533
3, 32, 0.6434, 0.667, 0.545, 0.534
3, 33, 0.7684, 0.333, 0.539, 0.533
3, 34, 0.8456, 0.000, 0.524, 0.531
3, 35, 0.7297, 0.333, 0.519, 0.530
3, 36, 0.6840, 0.667, 0.523, 0.530
3, 37, 0.7185, 1.000, 0.535, 0.532
3, 38, 0.6789, 1.000, 0.547, 0.534
3, 39, 0.6725, 0.667, 0.550, 0.535
3, 40, 0.7956, 0.000, 0.537, 0.533
3, 41, 0.8350, 0.000, 0.524, 0.530
3, 42, 0.6636, 0.667, 0.527, 0.531
3, 43, 0.5828, 1.000, 0.538, 0.533
3, 44, 0.7432, 0.333, 0.533, 0.532
3, 45, 0.8314, 0.000, 0.522, 0.530
3, 46, 0.7352, 0.333, 0.518, 0.529
3, 47, 0.6653, 0.667, 0.521, 0.530
3, 48, 0.6705, 0.667, 0.524, 0.530
3, 49, 0.7624, 0.000, 0.513, 0.528
3, 50, 0.6786, 0.667, 0.516, 0.529
3, 51, 0.7040, 0.333, 0.513, 0.528
3, 52, 0.7090, 1.000, 0.522, 0.530
3, 53, 0.6764, 1.000, 0.531, 0.532
3, 54, 0.6756, 0.667, 0.533, 0.532
3, 55, 0.6628, 0.667, 0.536, 0.533
3, 56, 0.8847, 0.000, 0.526, 0.531
3, 57, 0.8924, 0.000, 0.517, 0.529
3, 58, 0.7607, 0.333, 0.514, 0.528
3, 59, 0.7319, 0.333, 0.511, 0.527
3, 60, 0.7166, 0.333, 0.508, 0.526
3, 61, 0.6811, 0.667, 0.511, 0.527
3, 62, 0.6772, 1.000, 0.519, 0.529
3, 63, 0.7042, 0.667, 0.521, 0.529
3, 64, 0.6920, 1.000, 0.528, 0.531
3, 65, 0.6746, 1.000, 0.535, 0.533
3, 66, 0.6803, 0.667, 0.537, 0.533
3, 67, 0.6752, 0.667, 0.539, 0.534
3, 68, 0.7220, 0.333, 0.536, 0.533
3, 69, 0.6629, 0.667, 0.538, 0.533
4, 0, 0.7346, 0.333, 0.333, 0.533
4, 1, 0.7421, 0.333, 0.333, 0.532
4, 2, 0.6597, 0.667, 0.444, 0.532
4, 3, 0.6636, 0.667, 0.500, 0.533
4, 4, 0.7445, 0.333, 0.467, 0.532
4, 5, 0.6551, 0.667, 0.500, 0.533
4, 6, 0.7470, 0.333, 0.476, 0.532
4, 7, 0.7370, 0.333, 0.458, 0.531
4, 8, 0.7391, 0.333, 0.444, 0.531
4, 9, 0.6532, 0.667, 0.467, 0.531
4, 10, 0.6644, 0.667, 0.485, 0.532
4, 11, 0.6641, 0.667, 0.500, 0.532
4, 12, 0.6666, 0.667, 0.513, 0.532
4, 13, 0.7307, 0.333, 0.500, 0.532
4, 14, 0.6657, 0.667, 0.511, 0.532
4, 15, 0.6096, 1.000, 0.542, 0.534
4, 16, 0.6677, 0.667, 0.549, 0.534
4, 17, 0.8005, 0.000, 0.519, 0.532
4, 18, 0.7324, 0.333, 0.509, 0.532
4, 19, 0.6625, 0.667, 0.517, 0.532
4, 20, 0.6598, 0.667, 0.524, 0.533
4, 21, 0.6621, 0.667, 0.530, 0.533
4, 22, 0.5984, 1.000, 0.551, 0.535
4, 23, 0.7346, 0.333, 0.542, 0.534
4, 24, 0.6559, 0.667, 0.547, 0.534
4, 25, 0.8028, 0.000, 0.526, 0.533
4, 26, 0.8204, 0.000, 0.506, 0.531
4, 27, 0.6604, 0.667, 0.512, 0.531
4, 28, 0.6014, 1.000, 0.529, 0.533
4, 29, 0.6012, 1.000, 0.544, 0.534
4, 30, 0.7926, 0.000, 0.527, 0.533
4, 31, 0.6602, 0.667, 0.531, 0.533
4, 32, 0.7297, 0.333, 0.525, 0.532
4, 33, 0.6707, 0.667, 0.529, 0.533
4, 34, 0.7990, 0.000, 0.514, 0.531
4, 35, 0.7256, 0.333, 0.509, 0.531
4, 36, 0.7138, 0.333, 0.505, 0.530
4, 37, 0.7081, 0.333, 0.500, 0.529
4, 38, 0.6982, 1.000, 0.513, 0.531
4, 39, 0.6959, 0.333, 0.508, 0.530
4, 40, 0.6839, 0.667, 0.512, 0.531
4, 41, 0.6968, 0.333, 0.508, 0.530
4, 42, 0.7105, 0.333, 0.504, 0.529
4, 43, 0.6712, 0.667, 0.508, 0.530
