Epoch, Batch, LR, Loss, BatchAccuracy, EpochAccuracy, TotalAccuracy, TestAccuracy
1, 1, 0.01, 2.3166, 0.667, 0.667, 0.667, 0.100
1, 2, 0.01, 2.2382, 0.333, 0.500, 0.500, 0.100
1, 3, 0.01, 2.3515, 0.000, 0.333, 0.333, 0.100
1, 4, 0.01, 2.4027, 0.000, 0.250, 0.250, 0.100
1, 5, 0.01, 2.2517, 0.333, 0.267, 0.267, 0.100
1, 6, 0.01, 2.1719, 0.333, 0.278, 0.278, 0.100
1, 7, 0.01, 2.4779, 0.000, 0.238, 0.238, 0.100
1, 8, 0.01, 2.1217, 0.000, 0.208, 0.208, 0.100
1, 9, 0.01, 2.3472, 0.333, 0.222, 0.222, 0.100
1, 10, 0.01, 2.5708, 0.000, 0.200, 0.200, 0.100
1, 11, 0.01, 2.2388, 0.333, 0.212, 0.212, 0.115
1, 12, 0.01, 2.3711, 0.000, 0.194, 0.194, 0.100
1, 13, 0.01, 2.4762, 0.000, 0.179, 0.179, 0.100
1, 14, 0.01, 2.5443, 0.000, 0.167, 0.167, 0.100
1, 15, 0.01, 2.4156, 0.000, 0.156, 0.156, 0.100
1, 16, 0.01, 2.1858, 0.333, 0.167, 0.167, 0.100
1, 17, 0.01, 2.3055, 0.333, 0.176, 0.176, 0.100
1, 18, 0.01, 2.2692, 0.333, 0.185, 0.185, 0.100
1, 19, 0.01, 2.3356, 0.000, 0.175, 0.175, 0.100
1, 20, 0.01, 2.2638, 0.000, 0.167, 0.167, 0.100
1, 21, 0.01, 2.2757, 0.333, 0.175, 0.175, 0.100
1, 22, 0.01, 2.3407, 0.000, 0.167, 0.167, 0.101
1, 23, 0.01, 2.5474, 0.000, 0.159, 0.159, 0.073
1, 24, 0.01, 2.2244, 0.333, 0.167, 0.167, 0.100
1, 25, 0.01, 2.1996, 0.000, 0.160, 0.160, 0.099
1, 26, 0.01, 2.3180, 0.000, 0.154, 0.154, 0.097
1, 27, 0.01, 2.2546, 0.000, 0.148, 0.148, 0.092
1, 28, 0.01, 2.3418, 0.333, 0.155, 0.155, 0.091
1, 29, 0.01, 2.2902, 0.000, 0.149, 0.149, 0.077
1, 30, 0.01, 2.2765, 0.333, 0.156, 0.156, 0.060
1, 31, 0.01, 2.2752, 0.000, 0.151, 0.151, 0.125
1, 32, 0.01, 2.3505, 0.000, 0.146, 0.146, 0.113
1, 33, 0.01, 2.4581, 0.000, 0.141, 0.141, 0.103
1, 34, 0.01, 2.3704, 0.000, 0.137, 0.137, 0.100
1, 35, 0.01, 2.4065, 0.000, 0.133, 0.133, 0.100
1, 36, 0.01, 2.4081, 0.000, 0.130, 0.130, 0.099
1, 37, 0.01, 2.3186, 0.000, 0.126, 0.126, 0.100
1, 38, 0.01, 2.2564, 0.333, 0.132, 0.132, 0.096
